sheet_year,block_label,block_month,block_year,berth_label,berth_name,berth_length_ft,group_label,row_index,start_col,start_day,end_day,span_days,span_source,start_date,end_date,date_valid,raw_value,fill
1997,AUGUST 1997,8,1997,North Pier West - 410',North Pier West,410,"",4,C,2,2,1,single,1997-08-02,1997-08-02,true,F/V Swift Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,North Pier West - 410',North Pier West,410,"",4,L,11,11,1,single,1997-08-11,1997-08-11,true,Community sail day,"solid|fg=indexed=""43"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,North Pier West - 410',North Pier West,410,"",4,AA,26,28,3,fill_run,1997-08-26,1997-08-28,true,S/V IRON PETREL,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,North Pier East - 240',North Pier East,240,"",6,D,3,4,2,fill_run,1997-08-03,1997-08-04,true,F/V Deep Cove,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,North Pier East - 240',North Pier East,240,"",6,AB,27,30,4,fill_run,1997-08-27,1997-08-30,true,Tug WESTERN CURRENT,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,South Float West - 90',South Float West,90,"",8,H,7,9,3,fill_run,1997-08-07,1997-08-09,true,M/V Swift Petrel,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,South Float East - 90',South Float East,90,"",9,C,2,5,4,fill_run,1997-08-02,1997-08-05,true,S/V FAR HORIZON,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,South Float East - 90',South Float East,90,"",9,Q,16,17,2,fill_run,1997-08-16,1997-08-17,true,S/V FAR HORIZON,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,AUGUST 1997,8,1997,South Float East - 90',South Float East,90,"",9,Z,25,30,6,fill_run,1997-08-25,1997-08-30,true,S/V FAR HORIZON,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier West - 410',North Pier West,410,"",15,H,7,9,3,fill_run,1997-09-07,1997-09-09,true,R/V NORTHERN MERIDIAN,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier West - 410',North Pier West,410,"",15,K,10,11,2,fill_run,1997-09-10,1997-09-11,true,F/V Long Drift,"solid|fg=indexed=""15"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier West - 410',North Pier West,410,"",15,O,14,15,2,fill_run,1997-09-14,1997-09-15,true,Community sail day,"solid|fg=indexed=""43"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier West - 410',North Pier West,410,"",15,U,20,21,2,fill_run,1997-09-20,1997-09-21,true,R/V Quiet Tern,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier East - 240',North Pier East,240,"",17,B,1,5,5,fill_run,1997-09-01,1997-09-05,true,Tug WESTERN CURRENT,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier East - 240',North Pier East,240,"",17,G,6,6,1,single,1997-09-06,1997-09-06,true,R/V CLEAR STAR,"solid|fg=indexed=""15"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier East - 240',North Pier East,240,"",17,Q,16,20,5,fill_run,1997-09-16,1997-09-20,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier East - 240',North Pier East,240,"",17,V,21,22,2,fill_run,1997-09-21,1997-09-22,true,S/V IRON PETREL,"solid|fg=indexed=""15"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,North Pier East - 240',North Pier East,240,"",17,AE,30,30,1,single,1997-09-30,1997-09-30,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,South Float East - 90',South Float East,90,"",20,D,3,3,1,single,1997-09-03,1997-09-03,true,S/V FAR HORIZON,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,South Float East - 90',South Float East,90,"",20,Q,16,16,1,single,1997-09-16,1997-09-16,true,Barge Golden Star,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,SEPTEMBER 1997,9,1997,South Float East - 90',South Float East,90,"",20,T,19,19,1,single,1997-09-19,1997-09-19,true,Barge WESTERN COVE,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,North Pier West - 410',North Pier West,410,"",26,M,12,16,5,fill_run,1997-10-12,1997-10-16,true,M/V NORTHERN HARBOR,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,North Pier West - 410',North Pier West,410,"",26,AB,27,27,1,single,1997-10-27,1997-10-27,true,M/V NORTHERN HARBOR,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,North Pier East - 240',North Pier East,240,"",28,C,2,12,11,fill_run,1997-10-02,1997-10-12,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,North Pier East - 240',North Pier East,240,"",28,T,19,22,4,fill_run,1997-10-19,1997-10-22,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,North Pier East - 240',North Pier East,240,"",28,AC,28,31,4,fill_run,1997-10-28,1997-10-31,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,OCTOBER 1997,10,1997,South Float East - 90',South Float East,90,"",31,M,12,16,5,fill_run,1997-10-12,1997-10-16,true,S/V FAR HORIZON,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,NOVEMBER 1997,11,1997,North Pier West - 410',North Pier West,410,"",37,C,2,30,29,fill_run,1997-11-02,1997-11-30,true,M/V NORTHERN HARBOR,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,NOVEMBER 1997,11,1997,North Pier East - 240',North Pier East,240,"",39,C,2,8,7,fill_run,1997-11-02,1997-11-08,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,NOVEMBER 1997,11,1997,North Pier East - 240',North Pier East,240,"",39,AB,27,30,4,fill_run,1997-11-27,1997-11-30,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,NOVEMBER 1997,11,1997,South Float East - 90',South Float East,90,"",42,E,4,11,8,fill_run,1997-11-04,1997-11-11,true,Tug WESTERN CURRENT,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,DECEMBER 1997,12,1997,North Pier West - 410',North Pier West,410,"",48,C,2,31,30,fill_run,1997-12-02,1997-12-31,true,M/V NORTHERN HARBOR,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1997,DECEMBER 1997,12,1997,North Pier East - 240',North Pier East,240,"",50,F,5,31,27,fill_run,1997-12-05,1997-12-31,true,Barge SALT DORY,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JANUARY 1998,1,1998,North Pier West - 410',North Pier West,410,"",4,B,1,18,18,fill_run,1998-01-01,1998-01-18,true,M/V Northern Harbor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JANUARY 1998,1,1998,North Pier West - 410',North Pier West,410,"",4,AF,31,31,1,single,1998-01-31,1998-01-31,true,M/V Northern Harbor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JANUARY 1998,1,1998,North Pier East - 240',North Pier East,240,"",6,B,1,31,31,fill_run,1998-01-01,1998-01-31,true,Tug Swift Anchor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,FEBRUARY 1998,2,1998,North Pier West - 410',North Pier West,410,"",15,C,2,4,3,fill_run,1998-02-02,1998-02-04,true,M/V Northern Harbor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,FEBRUARY 1998,2,1998,North Pier East - 240',North Pier East,240,"",17,B,1,28,28,fill_run,1998-02-01,1998-02-28,true,Tug Swift Anchor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,MARCH 1998,3,1998,North Pier East - 240',North Pier East,240,"",28,B,1,31,31,fill_run,1998-03-01,1998-03-31,true,Tug Swift Anchor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,MARCH 1998,3,1998,South Float East - 90',South Float East,90,"",31,Y,24,31,8,fill_run,1998-03-24,1998-03-31,true,Tug Western Current,"solid|fg=indexed=""41"" |bg=indexed=""64"""
1998,APRIL 1998,4,1998,North Pier West - 410',North Pier West,410,"",37,D,3,19,17,fill_run,1998-04-03,1998-04-19,true,M/V Northern Harbor,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,APRIL 1998,4,1998,North Pier East - 240',North Pier East,240,"",39,B,1,6,6,fill_run,1998-04-01,1998-04-06,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,APRIL 1998,4,1998,North Pier East - 240',North Pier East,240,"",39,R,17,21,5,fill_run,1998-04-17,1998-04-21,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,APRIL 1998,4,1998,North Pier East - 240',North Pier East,240,"",39,AA,26,30,5,fill_run,1998-04-26,1998-04-30,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,APRIL 1998,4,1998,South Float East - 90',South Float East,90,"",42,C,2,6,5,fill_run,1998-04-02,1998-04-06,true,Tug Western Current,"solid|fg=indexed=""41"" |bg=indexed=""64"""
1998,MAY 1998,5,1998,North Pier East - 240',North Pier East,240,"",50,F,5,5,1,single,1998-05-05,1998-05-05,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,MAY 1998,5,1998,North Pier East - 240',North Pier East,240,"",50,N,13,18,6,fill_run,1998-05-13,1998-05-18,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JUNE 1998,6,1998,North Pier West - 410',North Pier West,410,"",59,I,8,8,1,single,1998-06-08,1998-06-08,true,Barge Western Cove,"solid|fg=indexed=""42"" |bg=indexed=""64"""
1998,JUNE 1998,6,1998,North Pier West - 410',North Pier West,410,"",59,AD,29,30,2,fill_run,1998-06-29,1998-06-30,true,R/V Clear Sextant,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JUNE 1998,6,1998,North Pier East - 240',North Pier East,240,"",61,C,2,6,5,fill_run,1998-06-02,1998-06-06,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
1998,JUNE 1998,6,1998,North Pier East - 240',North Pier East,240,"",61,Q,16,21,6,fill_run,1998-06-16,1998-06-21,true,Barge Salt Dory,"solid|fg=indexed=""44"" |bg=indexed=""64"""
