berth,year,summary,A: sum span_days (merge+fill_run+repeat+single),"B: merges count span, everything else 1 day",C: one day per record (ignore spans),"D: merge+repeat spans, fill_run = 1 day",E: distinct calendar days occupied (union of A)
North Pier West,2006,127,128,24,24,24,128
North Pier West,2007,219,365,12,12,12,365
North Pier West,2008,116,196,21,21,21,196
North Pier West,2009,193,135,104,21,104,135
North Pier West,2010,136,154,115,30,116,154
North Pier West,2011,337,141,139,28,139,141
North Pier West,2012,648,185,182,21,182,185
North Pier West,2013,470,213,155,23,155,213
North Pier Face,2006,0,7,2,2,2,7
North Pier Face,2007,3,4,3,3,3,4
North Pier Face,2008,3,4,3,3,3,4
North Pier Face,2009,16,31,13,8,13,31
North Pier Face,2010,29,45,18,13,18,45
North Pier Face,2011,6,46,13,12,14,46
North Pier Face,2012,3,12,5,4,5,12
North Pier Face,2013,21,33,19,10,19,33
North Pier East,2006,85,89,14,14,17,89
North Pier East,2007,176,179,29,29,29,179
North Pier East,2008,51,47,14,14,14,47
North Pier East,2009,36,60,44,15,45,60
North Pier East,2010,112,79,76,30,76,79
North Pier East,2011,85,72,72,46,72,72
North Pier East,2012,78,62,54,13,54,62
North Pier East,2013,631,201,185,23,185,201
North Finger Piers,2006,348,0,0,0,0,0
North Finger Piers,2007,431,0,0,0,0,0
North Finger Piers,2008,298,0,0,0,0,0
North Finger Piers,2009,434,0,0,0,0,0
North Finger Piers,2010,363,0,0,0,0,0
North Finger Piers,2011,415,0,0,0,0,0
North Finger Piers,2012,511,0,0,0,0,0
North Finger Piers,2013,334,0,0,0,0,0
Marsh Landing,2006,64,0,0,0,0,0
Marsh Landing,2007,118,0,0,0,0,0
Marsh Landing,2008,67,0,0,0,0,0
Marsh Landing,2009,88,0,0,0,0,0
Marsh Landing,2010,89,0,0,0,0,0
Marsh Landing,2011,118,0,0,0,0,0
Marsh Landing,2012,116,0,0,0,0,0
Marsh Landing,2013,120,0,0,0,0,0
South Float West,2006,3,4,3,3,3,4
South Float West,2007,1,32,2,2,2,32
South Float West,2008,5,96,4,4,4,96
South Float West,2009,23,17,13,8,17,17
South Float West,2010,66,101,94,40,101,101
South Float West,2011,67,71,54,45,71,71
South Float West,2012,26,23,23,5,23,23
South Float West,2013,37,108,75,29,77,108
South Float East,2006,12,23,9,9,9,23
South Float East,2007,25,35,10,10,10,35
South Float East,2008,20,25,7,7,7,25
South Float East,2009,113,82,70,36,79,82
South Float East,2010,74,115,115,20,115,115
South Float East,2011,17,64,58,15,58,64
South Float East,2012,138,109,109,8,109,109
South Float East,2013,62,85,84,19,85,85
