sheet_year,block_label,row_index,col,day_if_in_block,raw_value,fill
1997,SEPTEMBER 1997,21,P,15,R/V Amber Tide,""
2002,MAY 2002,64,F,5,OSV Golden Tern,""
2002,JUNE 2002,75,F,5,OSV Golden Tern,""
2002,JULY 2002,86,H,7,Barge Bright Sound,""
2002,JULY 2002,86,L,11,OSV Golden Tern,""
2002,JULY 2002,86,U,20,R/V Amber Heron,"solid|fg=theme=""8"" tint=""0.3999755851924192"" |bg=indexed=""64"""
2002,JULY 2002,87,AC,28,R/V Golden Meridian,"solid|fg=theme=""8"" tint=""0.3999755851924192"" |bg=indexed=""64"""
2002,AUGUST 2002,97,D,3,OSV Golden Tern,""
2002,AUGUST 2002,97,M,12,M/Y LONG PETREL,"solid|fg=theme=""4"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2002,AUGUST 2002,98,P,15,S/V Golden Heron,"solid|fg=rgb=""FFFF0000"" |bg=indexed=""64"""
2003,MAY 2003,64,F,5,OSV Golden Tern,""
2003,JUNE 2003,75,C,2,OSV Golden Tern,""
2003,JULY 2003,86,M,12,Barge Bright Sound,""
2003,JULY 2003,86,Q,16,OSV Golden Tern,""
2003,AUGUST 2003,97,H,7,OSV Golden Tern,""
2005,SEPTEMBER 2005,103,K,10,S/V Far Current,"solid|fg=theme=""0"" tint=""-0.1499984740745262"" |bg=indexed=""64"""
2006,MAY 2006,59,AA,26,Campus event,"solid|fg=rgb=""FF00B0F0"" |bg=indexed=""64"""
2006,JUNE 2006,70,P,15,M/V Coral Ledge,""
2006,JULY 2006,81,D,3,S/V Quiet Gannet,""
2008,AUGUST 2008,91,G,6,Tug Amber Sextant,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2008,AUGUST 2008,92,G,6,Safety training (RIBs),"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2009,APRIL 2009,49,W,22,Tug Wild Strand,""
2010,APRIL 2010,48,B,1,Utility work on pier face,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,JUNE 2010,71,L,11,R/V Coral Gannet,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,JUNE 2010,71,M,12,S/V Coral Fathom,""
2010,JUNE 2010,71,U,20,Fuel truck,""
2010,JULY 2010,81,B,1,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2010,JULY 2010,81,C,2,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2010,JULY 2010,81,D,3,M/V GREY COMPASS,"solid|fg=theme=""9"" |bg=indexed=""64"""
2010,JULY 2010,81,G,6,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=indexed=""64"""
2010,JULY 2010,81,I,8,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,JULY 2010,81,M,12,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=indexed=""64"""
2010,JULY 2010,81,O,14,Departs 0600,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,AUGUST 2010,91,D,3,M/V Deep Marlin,"solid|fg=theme=""4"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2010,AUGUST 2010,91,G,6,Water/slops pumping,""
2010,AUGUST 2010,91,L,11,M/V Grey Compass,"solid|fg=rgb=""FFFF6600"" |bg=indexed=""64"""
2010,AUGUST 2010,91,Y,24,M/Y Salt Sound,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,AUGUST 2010,91,AE,30,R/V Northern Strand,"solid|fg=theme=""2"" tint=""-0.249977111117893"" |bg=indexed=""64"""
2010,AUGUST 2010,92,L,11,Touch and go,""
2010,AUGUST 2010,92,N,13,Fueling,""
2010,AUGUST 2010,94,I,8,Delayed due to weather,""
2010,SEPTEMBER 2010,103,C,2,R/V Northern Strand,"solid|fg=theme=""2"" tint=""-0.249977111117893"" |bg=indexed=""64"""
2010,SEPTEMBER 2010,103,G,6,Water/slops pumping,""
2010,SEPTEMBER 2010,105,N,13,Touch and go,""
2010,SEPTEMBER 2010,105,P,15,ETA 1200,""
2010,SEPTEMBER 2010,105,Q,16,Bunkering,"solid|fg=theme=""4"" tint=""0.3999755851924192"" |bg=indexed=""64"""
2010,OCTOBER 2010,114,I,8,Fueling @0800,""
2010,OCTOBER 2010,114,M,12,Emergency port call,""
2010,OCTOBER 2010,114,W,22,Safety training (RIBs),"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,NOVEMBER 2018,118,C,1,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2010,NOVEMBER 2018,118,I,7,S/V FAR LANTERN,""
2010,NOVEMBER 2018,118,J,8,F/V GREY STRAND,""
2010,NOVEMBER 2018,118,K,9,M/V SILVER HORIZON,""
2010,NOVEMBER 2018,118,L,10,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,M,11,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,N,12,R/V CLEAR HARBOR,""
2010,NOVEMBER 2018,118,O,13,Barge SWIFT HARBOR,""
2010,NOVEMBER 2018,118,P,14,S/V FAR LANTERN,""
2010,NOVEMBER 2018,118,Q,15,F/V GREY STRAND,""
2010,NOVEMBER 2018,118,R,16,M/V SILVER HORIZON,""
2010,NOVEMBER 2018,118,S,17,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,T,18,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,U,19,R/V CLEAR HARBOR,""
2010,NOVEMBER 2018,118,V,20,Barge SWIFT HARBOR,""
2010,NOVEMBER 2018,118,W,21,S/V FAR LANTERN,""
2010,NOVEMBER 2018,118,X,22,F/V GREY STRAND,""
2010,NOVEMBER 2018,118,Y,23,M/V SILVER HORIZON,""
2010,NOVEMBER 2018,118,Z,24,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,AA,25,OSV CLEAR OSPREY,""
2010,NOVEMBER 2018,118,AB,26,R/V CLEAR HARBOR,""
2010,NOVEMBER 2018,118,AC,27,Barge SWIFT HARBOR,""
2010,NOVEMBER 2018,118,AD,28,S/V FAR LANTERN,""
2010,NOVEMBER 2018,118,AE,29,F/V GREY STRAND,""
2010,NOVEMBER 2018,118,AF,30,M/V SILVER HORIZON,""
2010,DECEMBER 2018,129,H,7,M/V SILVER HORIZON,""
2010,DECEMBER 2018,129,I,8,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,J,9,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,K,10,R/V CLEAR HARBOR,""
2010,DECEMBER 2018,129,L,11,Barge SWIFT HARBOR,""
2010,DECEMBER 2018,129,M,12,S/V FAR LANTERN,""
2010,DECEMBER 2018,129,N,13,F/V GREY STRAND,""
2010,DECEMBER 2018,129,O,14,M/V SILVER HORIZON,""
2010,DECEMBER 2018,129,P,15,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,Q,16,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,R,17,R/V CLEAR HARBOR,""
2010,DECEMBER 2018,129,S,18,Barge SWIFT HARBOR,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2010,DECEMBER 2018,129,T,19,S/V FAR LANTERN,""
2010,DECEMBER 2018,129,U,20,F/V GREY STRAND,""
2010,DECEMBER 2018,129,V,21,M/V SILVER HORIZON,""
2010,DECEMBER 2018,129,W,22,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,X,23,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,Y,24,R/V CLEAR HARBOR,""
2010,DECEMBER 2018,129,Z,25,Barge SWIFT HARBOR,""
2010,DECEMBER 2018,129,AA,26,S/V FAR LANTERN,""
2010,DECEMBER 2018,129,AB,27,F/V GREY STRAND,""
2010,DECEMBER 2018,129,AC,28,M/V SILVER HORIZON,""
2010,DECEMBER 2018,129,AD,29,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,AE,30,OSV CLEAR OSPREY,""
2010,DECEMBER 2018,129,AF,31,R/V CLEAR HARBOR,""
2011,FEBRUARY 2011,25,T,18,Barge Western Voyager,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,MARCH 2011,36,C,1,Barge Western Voyager,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,APRIL 2011,47,C,1,Barge Western Voyager,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2011,APRIL 2011,48,J,8,M/Y Blue Skua,"solid|fg=theme=""7"" tint=""0.5999938962981048"" |bg=rgb=""FF000000"""
2011,MAY 2011,58,B,0,M/V Grey Petrel,""
2011,MAY 2011,58,D,2,Touch and go,"solid|fg=rgb=""FFFF0000"" |bg=indexed=""64"""
2011,MAY 2011,58,U,19,F/V High Lantern,"solid|fg=theme=""4"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,MAY 2011,60,B,0,Ultrasonic pier test,""
2011,MAY 2011,60,K,9,Barge Quiet Lantern,""
2011,MAY 2011,60,T,18,F/V SILVER DRIFT,"solid|fg=theme=""9"" |bg=indexed=""64"""
2011,JUNE 2011,69,H,6,M/Y Western Star,"solid|fg=theme=""6"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,JUNE 2011,70,AB,26,R/V Swift Sound,""
2011,JUNE 2011,71,B,0,Paving near dock entrance,""
2011,JUNE 2011,71,J,8,R/V Bright Kestrel,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JUNE 2011,71,O,13,F/V Clear Skua,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JUNE 2011,71,U,19,Community sail day,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JUNE 2011,71,AA,25,Concrete work near test wells,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JULY 2011,80,C,1,M/Y Western Star,"solid|fg=theme=""6"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,JULY 2011,80,L,10,M/Y Western Beacon,"solid|fg=theme=""6"" |bg=indexed=""64"""
2011,JULY 2011,80,T,18,R/V Swift Osprey,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JULY 2011,80,Z,24,R/V Long Tide,"solid|fg=rgb=""FFFF6600"" |bg=indexed=""64"""
2011,JULY 2011,81,O,13,Delayed due to weather,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JULY 2011,82,B,0,F/V Clear Skua,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,JULY 2011,82,AD,28,Load equipment,""
2011,AUGUST 2011,91,O,13,R/V High Kestrel,""
2011,AUGUST 2011,91,P,14,Arrival 1400,""
2011,AUGUST 2011,92,T,18,M/V Clear Tide,"solid|fg=theme=""9"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,AUGUST 2011,93,H,6,S/V Clear Sound,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,AUGUST 2011,93,M,11,Returns from sea trials,""
2011,AUGUST 2011,93,R,16,Rescue drill,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,AUGUST 2011,93,Y,23,Holiday,""
2011,AUGUST 2011,94,H,6,Student tour,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,AUGUST 2011,94,K,9,"Bollard replacement, west face","solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,AUGUST 2011,94,Q,15,Delayed due to weather,""
2011,AUGUST 2011,94,R,16,Provisioning,"solid|fg=theme=""3"" tint=""0.7999816888943144"" |bg=indexed=""64"""
2011,AUGUST 2011,94,U,19,OSV Western Skua,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,AUGUST 2011,94,Z,24,Campus event,""
2011,SEPTEMBER 2011,104,Q,15,Tug Grey Ketch,"solid|fg=theme=""8"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,SEPTEMBER 2011,105,S,17,Campus event,"solid|fg=theme=""6"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2011,SEPTEMBER 2011,106,R,16,M/V Far Voyager,""
2011,SEPTEMBER 2011,106,S,17,Community sail day,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2011,OCTOBER 2011,117,J,8,Dive training,""
2011,NOVEMBER 2011,128,L,10,Holiday,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2012,FEBRUARY 2012,27,AA,24,F/V GREY ANCHOR,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2012,MARCH 2012,36,B,-2,M/V Salt Tern,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2012,MAY 2012,60,L,8,Crane access - berth closed,"solid|fg=rgb=""FFF8380A"" |bg=indexed=""64"""
2012,JUNE 2012,71,B,-2,Paving near dock entrance,"solid|fg=rgb=""FFF8380A"" |bg=indexed=""64"""
2012,JULY 2012,81,B,-2,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2012,JULY 2012,81,C,-1,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2012,JULY 2012,81,D,0,M/V GREY COMPASS,"solid|fg=theme=""9"" |bg=indexed=""64"""
2012,JULY 2012,81,F,2,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2012,JULY 2012,81,G,3,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=indexed=""64"""
2012,JULY 2012,81,I,5,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2012,JULY 2012,81,K,7,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=indexed=""64"""
2012,JULY 2012,81,M,9,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=indexed=""64"""
2012,JULY 2012,81,O,11,Touch and go,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2012,JULY 2012,81,Q,13,F/V SALT FATHOM,"solid|fg=rgb=""FFFF0000"" |bg=rgb=""FF000000"""
2012,JULY 2012,83,B,-2,Ultrasonic pier test,"solid|fg=rgb=""FFF8380A"" |bg=indexed=""64"""
2012,AUGUST 2012,92,N,10,M/Y Silver Compass,"solid|fg=theme=""9"" tint=""0.5999938962981048"" |bg=indexed=""64"""
2012,AUGUST 2012,95,B,-2,Float rebuild - no usage permitted,"solid|fg=rgb=""FFF8380A"" |bg=indexed=""64"""
2012,SEPTEMBER 2012,104,L,8,S/V Golden Dory,"solid|fg=theme=""2"" tint=""-0.09997863704336681"" |bg=indexed=""64"""
2012,SEPTEMBER 2012,106,B,-2,Concrete work near test wells,"solid|fg=rgb=""FFF8380A"" |bg=indexed=""64"""
2013,JANUARY 2013,14,AD,29,Float rebuild - no usage permitted,"solid|fg=rgb=""FFFFE72B"" |bg=indexed=""64"""
2013,JANUARY 2013,15,AA,26,Concrete work near test wells,"solid|fg=rgb=""FFF0FF63"" |bg=indexed=""64"""
2013,JANUARY 2013,16,F,5,R/V Wild Current,"solid|fg=rgb=""FF92D050"" |bg=indexed=""64"""
2013,JANUARY 2013,16,AD,29,Float rebuild - no usage permitted,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,FEBRUARY 2013,25,F,1,"Bollard replacement, west face","solid|fg=rgb=""FFFFE72B"" |bg=indexed=""64"""
2013,FEBRUARY 2013,26,V,17,Float rebuild - no usage permitted,"solid|fg=rgb=""FFF0FF63"" |bg=indexed=""64"""
2013,FEBRUARY 2013,27,F,1,Float rebuild - no usage permitted,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,APRIL 2013,47,AH,29,S/V Silver Star,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,APRIL 2013,49,W,18,Provisioning,""
2013,APRIL 2013,49,X,19,Barge Salt Compass,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,MAY 2013,59,R,13,Rescue drill,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,MAY 2013,60,F,1,"Bollard replacement, west face","solid|fg=rgb=""FFFFE72B"" |bg=indexed=""64"""
2013,JUNE 2013,69,U,16,R/V Amber Harbor,"solid|fg=theme=""2"" tint=""-0.09997863704336681"" |bg=indexed=""64"""
2013,JUNE 2013,70,P,11,Rescue drill,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,JUNE 2013,71,F,1,Utility work on pier face,"solid|fg=rgb=""FFFFE72B"" |bg=indexed=""64"""
2013,JULY 2013,80,G,2,R/V Amber Harbor,"solid|fg=theme=""2"" tint=""-0.09997863704336681"" |bg=indexed=""64"""
2013,JULY 2013,80,AB,23,R/V Northern Reef,""
2013,JULY 2013,80,AC,24,Holiday,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,JULY 2013,80,AI,30,Community sail day,""
2013,JULY 2013,81,B,-3,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2013,JULY 2013,81,C,-2,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2013,JULY 2013,81,D,-1,M/V GREY COMPASS,"solid|fg=theme=""9"" |bg=indexed=""64"""
2013,JULY 2013,81,F,1,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2013,JULY 2013,81,G,2,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=indexed=""64"""
2013,JULY 2013,81,I,4,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,JULY 2013,81,K,6,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=indexed=""64"""
2013,JULY 2013,81,M,8,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=indexed=""64"""
2013,JULY 2013,81,O,10,Delayed due to weather,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2013,JULY 2013,81,Q,12,OSV Salt Osprey,"solid|fg=theme=""5"" |bg=indexed=""64"""
2013,JULY 2013,81,AA,22,S/V Long Lantern,""
