berth,year,days
North Pier West,2006,127
North Pier West,2007,219
North Pier West,2008,116
North Pier West,2009,193
North Pier West,2010,136
North Pier West,2011,337
North Pier West,2012,648
North Pier West,2013,470
North Pier Face,2006,0
North Pier Face,2007,3
North Pier Face,2008,3
North Pier Face,2009,16
North Pier Face,2010,29
North Pier Face,2011,6
North Pier Face,2012,3
North Pier Face,2013,21
North Pier East,2006,85
North Pier East,2007,176
North Pier East,2008,51
North Pier East,2009,36
North Pier East,2010,112
North Pier East,2011,85
North Pier East,2012,78
North Pier East,2013,631
North Finger Piers,2006,348
North Finger Piers,2007,431
North Finger Piers,2008,298
North Finger Piers,2009,434
North Finger Piers,2010,363
North Finger Piers,2011,415
North Finger Piers,2012,511
North Finger Piers,2013,334
Marsh Landing,2006,64
Marsh Landing,2007,118
Marsh Landing,2008,67
Marsh Landing,2009,88
Marsh Landing,2010,89
Marsh Landing,2011,118
Marsh Landing,2012,116
Marsh Landing,2013,120
South Float West,2006,3
South Float West,2007,1
South Float West,2008,5
South Float West,2009,23
South Float West,2010,66
South Float West,2011,67
South Float West,2012,26
South Float West,2013,37
South Float East,2006,12
South Float East,2007,25
South Float East,2008,20
South Float East,2009,113
South Float East,2010,74
South Float East,2011,17
South Float East,2012,138
South Float East,2013,62
