raw_value,occurrences,kind,normalized_name,type_prefix,length_ft,confidence,rationale
R/V Long Ketch,332,vessel,R/V Long Ketch,R/V,,high,recognized vessel type prefix
R/V GOLDEN COMPASS,198,vessel,R/V Golden Compass,R/V,,high,recognized vessel type prefix
OSV AMBER REEF,125,vessel,OSV Amber Reef,OSV,,high,recognized vessel type prefix
R/V LONG ANCHOR,80,vessel,R/V Long Anchor,R/V,,high,recognized vessel type prefix
M/V NORTHERN HARBOR,77,vessel,M/V Northern Harbor,M/V,,high,recognized vessel type prefix
R/V CLEAR SEXTANT,63,vessel,R/V Clear Sextant,R/V,,high,recognized vessel type prefix
M/Y GREEN LANTERN,61,vessel,M/Y Green Lantern,M/Y,,high,recognized vessel type prefix
Barge SALT DORY,59,vessel,Barge Salt Dory,Barge,,high,recognized vessel type prefix
R/V Golden Horizon,48,vessel,R/V Golden Horizon,R/V,,high,recognized vessel type prefix
F/V SALT FATHOM,45,vessel,F/V Salt Fathom,F/V,,high,recognized vessel type prefix
Barge Salt Dory,42,vessel,Barge Salt Dory,Barge,,high,recognized vessel type prefix
M/V GREY COMPASS,42,vessel,M/V Grey Compass,M/V,,high,recognized vessel type prefix
R/V Western Sextant,33,vessel,R/V Western Sextant,R/V,,high,recognized vessel type prefix
M/V Quiet Petrel,29,vessel,M/V Quiet Petrel,M/V,,high,recognized vessel type prefix
S/V FAR HORIZON,28,vessel,S/V Far Horizon,S/V,,high,recognized vessel type prefix
Barge SILVER VOYAGER,22,vessel,Barge Silver Voyager,Barge,,high,recognized vessel type prefix
S/V Far Horizon,22,vessel,S/V Far Horizon,S/V,,high,recognized vessel type prefix
OSV Wild Star,21,vessel,OSV Wild Star,OSV,,high,recognized vessel type prefix
S/V Golden Heron,20,vessel,S/V Golden Heron,S/V,,high,recognized vessel type prefix
OSV CLEAR OSPREY,18,vessel,OSV Clear Osprey,OSV,,high,recognized vessel type prefix
R/V Clear Sextant,18,vessel,R/V Clear Sextant,R/V,,high,recognized vessel type prefix
S/V Iron Petrel,17,vessel,S/V Iron Petrel,S/V,,high,recognized vessel type prefix
Tug Salt Tide,16,vessel,Tug Salt Tide,Tug,,high,recognized vessel type prefix
Barge Silver Voyager,15,vessel,Barge Silver Voyager,Barge,,high,recognized vessel type prefix
S/V GOLDEN HERON,15,vessel,S/V Golden Heron,S/V,,high,recognized vessel type prefix
Tug BLUE FATHOM,15,vessel,Tug Blue Fathom,Tug,,high,recognized vessel type prefix
M/V DEEP REEF,14,vessel,M/V Deep Reef,M/V,,medium,registry length conflict 24/100'
M/V QUIET PETREL,13,vessel,M/V Quiet Petrel,M/V,,high,recognized vessel type prefix
OSV Silver Tide,13,vessel,OSV Silver Tide,OSV,,high,recognized vessel type prefix
Tug WESTERN CURRENT,13,vessel,Tug Western Current,Tug,,high,recognized vessel type prefix
Bunker barge,12,vessel,Bunker barge,Barge,,medium,unnamed service craft occupying berth
R/V Blue Star,12,vessel,R/V Blue Star,R/V,,high,recognized vessel type prefix
Tug Wild Gannet,12,vessel,Tug Wild Gannet,Tug,,high,recognized vessel type prefix
Community sail day,10,event,Community sail day,,,high,community activity
ETA 1200,10,note,ETA,,,high,arrival/departure time annotation
Tug Golden Sound,10,vessel,Tug Golden Sound,Tug,,high,recognized vessel type prefix
"Bollard replacement, west face",9,closure,Bollard replacement,,,high,maintenance work on berth
F/V GREY STRAND,9,vessel,F/V Grey Strand,F/V,,high,recognized vessel type prefix
F/V Western Sound,9,vessel,F/V Western Sound,F/V,,high,recognized vessel type prefix
Fuel truck,9,note,Fuel truck,,,medium,"shoreside service, annotation not booking"
Fueling @0800,9,note,Fueling,,,high,service operation annotation
M/V SILVER HORIZON,9,vessel,M/V Silver Horizon,M/V,,high,recognized vessel type prefix
R/V CLEAR HARBOR,9,vessel,R/V Clear Harbor,R/V,,high,recognized vessel type prefix
R/V Iron Harbor,9,vessel,R/V Iron Harbor,R/V,,high,recognized vessel type prefix
R/V Long Compass,9,vessel,R/V Long Compass,R/V,,high,recognized vessel type prefix
Barge SWIFT HARBOR,8,vessel,Barge Swift Harbor,Barge,,high,recognized vessel type prefix
Bunkering,8,note,Bunkering,,,high,service operation annotation
Float rebuild - no usage permitted,8,closure,Float rebuild,,,high,"maintenance, usage forbidden"
M/V CORAL LANTERN,8,vessel,M/V Coral Lantern,M/V,,high,recognized vessel type prefix
M/Y BLUE TIDE,8,vessel,M/Y Blue Tide,M/Y,,high,recognized vessel type prefix
OSV Golden Tern,8,vessel,OSV Golden Tern,OSV,,high,recognized vessel type prefix
R/V Long Anchor,8,vessel,R/V Long Anchor,R/V,,high,recognized vessel type prefix
S/V FAR LANTERN,8,vessel,S/V Far Lantern,S/V,,high,recognized vessel type prefix
S/V Golden Anchor,8,vessel,S/V Golden Anchor,S/V,,high,recognized vessel type prefix
Tug Western Current,8,vessel,Tug Western Current,Tug,,high,recognized vessel type prefix
Campus event,7,event,Campus event,,,high,institutional activity
