name_key,length_ft
barge high voyager,100
barge long ledge,40
barge northern drift,52
barge northern marlin,24
barge salt ledge,52
barge western tern,100
barge wild horizon,52
fv bright compass,120
fv bright heron,32
fv bright horizon,170
fv clear meridian,24
fv coral ketch,120
fv far petrel,24
fv golden petrel,145
fv green heron,32
fv high skua,120
fv iron beacon,100
fv iron ketch,65
mv blue osprey,100
mv blue tern,52
mv clear cove,46
mv clear petrel,46
mv coral drift,100
mv deep gannet,32
mv deep meridian,145
mv deep reef,100
mv deep sextant,24
mv far anchor,120
mv far fathom,72
mv golden skua,52
mv green kestrel,100
mv grey star,120
mv grey tern,65
mv high current,170
mv high ledge,40
mv high strand,145
mv iron harbor,100
mv iron heron,100
mv iron sound,145
mv long drift,52
mv long wind,40
mv northern gannet,85
mv northern ketch,120
mv quiet drift,46
mv quiet tern,145
mv salt wind,170
mv silver kestrel,46
mv silver ledge,72
mv swift cove,145
mv swift sextant,72
mv swift strand,40
mv western anchor,65
mv western petrel,46
mv wild dory,52
mv wild sextant,100
mv wild star,24
my blue fathom,46
my clear star,120
my clear wind,32
my coral osprey,170
my coral wind,40
my far horizon,170
my green beacon,145
my grey heron,52
my grey horizon,46
my high anchor,40
my iron gannet,170
my iron petrel,120
my long dory,52
my northern cove,32
my salt dory,85
my salt gannet,145
my swift anchor,100
my swift dory,85
my swift kestrel,52
my swift petrel,100
my western current,85
my western strand,52
my wild meridian,72
my wild skua,40
my wild tern,145
osv blue harbor,40
osv blue sound,170
osv clear reef,46
osv high petrel,170
osv long reef,120
osv salt lantern,46
osv silver harbor,46
osv silver skua,24
rv amber drift,170
rv amber ledge,72
rv amber marlin,145
rv amber voyager,24
rv amber wind,32
rv blue drift,120
rv bright dory,52
rv bright fathom,46
rv bright meridian,120
rv clear strand,145
rv clear tern,120
rv coral anchor,120
rv coral meridian,24
rv coral voyager,46
rv deep heron,46
rv deep ketch,32
rv deep strand,65
rv deep voyager,120
rv green meridian,32
rv grey current,65
rv grey reef,170
rv grey tide,65
rv high dory,100
rv high drift,120
rv high reef,72
rv high sound,32
rv iron current,100
rv iron ketch,46
rv iron skua,72
rv iron wind,46
rv long current,65
rv long heron,85
rv long voyager,100
rv northern sextant,52
rv northern skua,120
rv northern sound,46
rv salt drift,85
rv salt skua,52
rv silver anchor,170
rv swift heron,120
rv swift reef,170
rv western fathom,32
rv western ledge,170
rv wild heron,145
rv wild ledge,120
rv wild marlin,32
sv amber star,32
sv amber tide,46
sv bright drift,32
sv bright wind,72
sv clear heron,85
sv clear horizon,85
sv far osprey,52
sv golden star,40
sv golden tide,40
sv high tide,24
sv northern harbor,52
sv northern meridian,85
sv quiet fathom,40
sv quiet sound,24
sv quiet tide,52
sv western cove,24
sv wild cove,120
sv wild drift,24
sv wild harbor,65
sv wild reef,100
sy clear beacon,170
sy clear sextant,145
sy deep cove,145
sy high gannet,100
sy long gannet,24
tug deep wind,120
tug long anchor,170
tug long skua,170
tug salt strand,85
